projects_uID,name_agency,project_title,donors,project_status,ongoing_ability,new_project_funding,funding_amount,pillars,projects_activities,other_activities,implimenting_partner,regions,districts
ID-62,Baylor College of Medicine Children's Foundation-Uganda (Baylor-Uganda),"Continuity of essential services—HIV, TB, ANC and MCH amidst COVID-19 ; Infection Prevention and Control (IPC); Case management in context of COVID-19; Communication and Risk communication amidst COVID_19 environment",PEPFAR through Centre for Disease Control and Prevention (CDC),ongoing_project,yes,NA,4.00E+05,"Coordination,Infection prevention,Surveillance,Case management,WASH,ICT innovations,Risk communications,Logistics,Human resources","assessments_national_rapid_response tech_support_lg other, procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, rapid_risk_capacity_assessment_district other, orientation_workers_rrh orientation_detection_linking_isolation_facilities assess_readiness medicine_home_isolation, procure_wash_infrastructure, implement_elmis emergency_hotline other, none, cash supplies, procure_ppe procure_waste_management_supplies procure_thermometers procure_sanitizer procure_bottles handwashing_facility procure_soap, other",NA,,toro,kabarole bunyangabu kyegegwa kyenjojo kasese kamwenge ntoroko bundibugyo kitagwenda
ID-63,United Nations Population Fund (UNFPA),"EU Spot light , GBV/SRH integrated programme",eu,ongoing_project,yes,NA,1.00E+05,"Coordination,Infection prevention,Case management,ICT innovations,Mental health,Risk communications,Logistics","information_product assessments_national_rapid_response moh_support_lg ehd_districts_wash, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, activate_ambulance orientation_workers_icu medicine_home_isolation, none, telecoms_call_center e_meetings implement_elmis emergency_hotline telemedicine_approach strengthen_district_data telemedicine_orientation, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash supplies, procure_ppe procure_medicine procure_waste_management_supplies procure_thermometers offloading_transport fuel transport_medical_staff procure_medical_equipment procure_phones procure_internet_routers print_statutory_instrument procure_sanitizer procure_bottles procure_soap chlorination procure_boots, none","Voucher system to ensure women access services , Vehicles will be stationed at the health facilities and payments for fuel and driver's allowance will be made based on the vehicle log , Use district ambulances for districts to support referral services including picking mothers from home,  Pregnancy mapping","MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD",acholi kampala karamoja toro westnile,"kitgum, kampala, amudat, kyegegwa kasese, arua madiokollo"
ID-64,United Nations Population Fund (UNFPA),Reducing high fertility rates and Improving Sexual reproductive health outcomes in Uganda (DFID/RISE)RISE),uk,ongoing_project,yes,NA,346685,"Coordination,Infection prevention,ICT innovations,Risk communications,Logistics","national_task_force_district_task_force information_product tech_support_lg ehd_districts_wash, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, telecoms_call_center e_meetings telemedicine_protocals implement_elmis emergency_hotline strengthen_district_data telemedicine_orientation, none, cash supplies, procure_ppe procure_medicine procure_waste_management_supplies procure_thermometers offloading_transport fuel transport_medical_staff med_equipment_maintenance procure_medical_equipment procure_sanitizer procure_bottles procure_soap procure_boots, none","Support the provision of transport to health workers  and clients (pregnant women ) to provide services and access services  respectively  and inter-facility safe ambulance referrals with toll-free numbers that will be made known to health workers in the catchment areas.Use of safe boda to distribute SRHR/FPcommodites and supplies , use of big data for persceptive analysis of SRHR and GBV current situations in collaboration with other UN agencies , implementaiion of the Getin and Safepal apps","MOH, MOES,  NPA, UBOS ,  RAHU, MOH, MOES,  NPA, UBOS ,  RAHU, MOH, MOES,  NPA, UBOS ,  RAHU, MOH, MOES, NPC, NPA, UBOS ,  RAHU, MOH, MOES, NPC, NPA, UBOS ,  RAHU",acholi ankole bunyoro karamoja kigezi westnile,"lamwo, isingiro, kikuube kiryandongo hoima, moroto kaabong nakapiripirit kotido napak abim amudat nabilatuk karenga, kanungu, yumbe adjumani arua koboko moyo madiokollo obongi"
ID-65,United Nations Population Fund (UNFPA),Enhance women’s and young people’s access and utilization of quality SRHR and GBV services(WAY Programme),denmark,new_project,NA,no,625000,"Coordination,Infection prevention,ICT innovations,Mental health,Risk communications,Logistics","national_task_force_district_task_force orientation_surge tech_support_lg moh_support_lg ehd_districts_wash, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, telemedicine_protocals implement_elmis strengthen_district_data, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash supplies, procure_ppe procure_medicine procure_waste_management_supplies procure_thermometers offloading_transport transport_medical_staff procure_medical_equipment procure_teleconference_supplies purchase_megaphones_vht print_statutory_instrument procure_sanitizer procure_soap, none",NA,"MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX",acholi westnile,"lamwo amuru kitgum agago, yumbe adjumani arua moyo madiokollo obongi"
ID-66,United Nations Population Fund (UNFPA),SIDA Joint SRH/GBV programme,sweden,ongoing_project,yes,NA,60000,"Coordination,Infection prevention,ICT innovations,Mental health,Risk communications,Logistics","national_task_force_district_task_force orientation_surge tech_support_lg moh_support_lg ehd_districts_wash, procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, e_meetings telemedicine_protocals strengthen_district_data, mhpss_services_supervisor_monitor mhpss_support_materials, supplies, procure_ppe procure_medicine procure_waste_management_supplies procure_thermometers fuel transport_medical_staff procure_medical_equipment purchase_megaphones_vht print_statutory_instrument procure_soap procure_boots, none",NA,"MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD",acholi bunyoro kampala karamoja teso westnile,"gulu pader, kiryandongo, kampala, moroto kaabong nakapiripirit kotido napak abim nabilatuk karenga, kaberamaido amuria, yumbe"
ID-67,United Nations Population Fund (UNFPA),Advancing Sexual Reproductive Health and Rights in West Nile and Acholi Sub Regions in Uganda,netherlands,ongoing_project,yes,NA,166000,"Coordination,Infection prevention,ICT innovations,Mental health,Risk communications,Logistics,Human resources","national_task_force_district_task_force information_product tech_support_lg moh_support_lg, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, telecoms_call_center e_meetings implement_elmis strengthen_district_data, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash supplies, procure_ppe procure_waste_management_supplies procure_thermometers fuel transport_medical_staff procure_sanitizer procure_soap procure_boots, surge_staff","Voucher system to ensure women access services , Vehicles will be stationed at the health facilities and payments for fuel and driver's allowance will be made based on the vehicle log , Use district ambulances for districts to support referral services including picking mothers from home,  Pregnancy mapping","MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,",acholi westnile,"lamwo amuru agago, maracha pakwach zombo yumbe adjumani arua nebbi koboko moyo madiokollo obongi"
ID-68,United Nations Population Fund (UNFPA),Strengthening Capacity to Deliver and Integrated Package of Rights in Karamoja and Northern Uganda,Government of Austria,ongoing_project,yes,NA,108655,"Coordination,Infection prevention,Mental health,Risk communications,Logistics","national_task_force_district_task_force information_product tech_support_lg moh_support_lg, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, none, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash personnel, procure_ppe procure_waste_management_supplies procure_thermometers fuel transport_medical_staff procure_medical_equipment procure_sanitizer procure_soap chlorination procure_boots, none","Voucher system to ensure women access services , Vehicles will be stationed at the health facilities and payments for fuel and driver's allowance will be made based on the vehicle log , Use district ambulances for districts to support referral services including picking mothers from home,  Pregnancy mapping","MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD",acholi karamoja lango,"omoro, moroto kaabong nakapiripirit kotido napak abim amudat nabilatuk karenga, otuke"
ID-69,United Nations Population Fund (UNFPA),UNFPA Global Supplies Programme,unfpa,ongoing_project,yes,NA,30000,"Infection prevention,ICT innovations,Logistics","none, adapted_ipc_standard_operating_procedures procure_ipc, none, none, none, implement_elmis, none,  procure_ppe procure_waste_management_supplies procure_thermometers procure_medical_equipment procure_sanitizer procure_soap chlorination procure_boots, none",NA,"MOH, DLGs,  JMS, NMS, MSU, MSH, UFPC, MOH, DLGs,  JMS, NMS, MSU, MSH, UFPC",westnile,maracha pakwach zombo yumbe adjumani arua nebbi koboko moyo madiokollo obongi
ID-70,United Nations Population Fund (UNFPA),Maternal Health Thematic programme,unfpa,ongoing_project,yes,NA,20000,"Infection prevention,Logistics","none, ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, none, none,  procure_ppe, none",NA,"MOH, DLGs, UNMC, RRHs , Terrewode",westnile,maracha pakwach zombo yumbe adjumani arua nebbi koboko moyo madiokollo obongi
ID-71,United Nations Population Fund (UNFPA),"Together for SRH integrated SERVICES, Regional programme",unfpa,ongoing_project,yes,NA,30000,"Infection prevention,Logistics","none, procure_ipc, none, none, none, none, none,  procure_ppe procure_medicine procure_waste_management_supplies procure_thermometers procure_medical_equipment purchase_megaphones_vht procure_sanitizer, none",NA,"MOH, DLGs,  AIC, MOH, DLGs,  AIC",acholi,lamwo omoro agago
ID-72,United Nations Population Fund (UNFPA),KARUNA  HIV/SRH programme,ireland,ongoing_project,yes,NA,93000,"Infection prevention,Logistics","none, adapted_ipc_standard_operating_procedures procure_ipc, none, none, none, none, none,  procure_ppe procure_medicine procure_waste_management_supplies procure_blood_testing procure_thermometers procure_sanitizer, none",NA,"MOH, DLGs,  AIC",karamoja,moroto kaabong nakapiripirit kotido napak abim amudat nabilatuk karenga
ID-73,United Nations Population Fund (UNFPA),Ending child marriage programme,KOICA,ongoing_project,yes,NA,69000,"Infection prevention,Logistics","none, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, none, none,  procure_ppe procure_medicine procure_thermometers procure_sanitizer procure_soap chlorination, none",NA,"MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD",westnile,maracha pakwach zombo adjumani nebbi moyo
ID-74,United Nations Population Fund (UNFPA),Joint UN Emergency Appeal,eu,new_project,NA,no,3500000,"Coordination,Infection prevention,ICT innovations,Mental health,Risk communications,Logistics,Human resources","national_task_force_district_task_force information_product tech_support_lg moh_support_lg, procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, telecoms_call_center e_meetings implement_elmis strengthen_district_data, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash supplies personnel, procure_ppe procure_medicine procure_waste_management_supplies procure_thermometers procure_soap chlorination procure_boots, recruitment_costs surge_staff",NA,"MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,, MOH, MOES, MGLSD, UBOS, NPA, NPC, JMS, NMS, DLGs, JHPIEGO, LWF, Humanity and Inclusion, MSU, MSH, BRAC, UFPC, IRCU, Parliament of Uganda,",kampala,kampala
ID-75,United Nations Population Fund (UNFPA),UBRAF Project,ireland,ongoing_project,yes,NA,282000,"Logistics,Human resources","none, none, none, none, none, none, none,  procure_ppe procure_medicine procure_thermometers fuel procure_medical_equipment procure_soap chlorination, surge_staff",NA,,westnile,zombo yumbe adjumani arua moyo madiokollo obongi
ID-76,Tackling Deadly Diseases in Africa Programme (TDDAP),Tackling Deadly Diseases in Africa Programme,uk,ongoing_project,yes,NA,180000,Coordination,"other, none, none, none, none, none, none,  none, none",NA,Government of Uganda,acholi bukedi elgon kampala karamoja kigezi southbuganda toro westnile,"amuru, busia tororo, bukwo, kampala, moroto napak abim, kisoro kabale, wakiso rakai, kasese ntoroko bundibugyo, yumbe koboko"
ID-77,Mercy Corps,EKISIL,USAID,ongoing_project,yes,NA,12000,"Coordination,Infection prevention,Mental health,Risk communications","tech_support_lg, other, none, none, none, none, mhpss_services_supervisor_monitor, supplies, none, none",NA,,karamoja,moroto amudat
ID-78,Mercy Corps,Apolou,us,ongoing_project,yes,NA,117000,"Infection prevention,WASH,Risk communications","none, procure_ipc, none, none, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, none, none, supplies personnel, none, none",NA,"Save the Children, Save the Children, Whave Solutions, Save the Children",karamoja,moroto kaabong kotido amudat karenga
ID-79,Mercy Corps,BRIDGE,uk,ongoing_project,yes,NA,118000,Risk communications,"none, none, none, none, none, none, none, cash, none, none",Distribution of cash grants to vouchers to procure seeds via agro-agents,CTEN,westnile,yumbe
ID-80,Mercy Corps,Supporting Vulnerable Refugee and Host Communities in Kampala to Increase Resilience and Overcome the Economic and Mental Health Implications of the COVID-19 Crisis,us,new_project,NA,no,2916272,"Coordination,WASH,ICT innovations,Mental health,Risk communications,Human resources","information_product, none, none, none, procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, other, mhpss_services_supervisor_monitor mhpss_support_materials other, supplies personnel, none, recruitment_costs",Unconditional cash transfers for livelihoods; conditional cash transfers; COVID-19 information and referral services; COVID-19 business survival bootcamp; Identification of Opportunities and Development of Business Models that Facilitate Alternative Productive Use of Existing Assets; women and youth business/financial empowerment,"Viamo, Strong Minds, Strong Minds, Viamo, Strong Minds, Viamo",kampala,kampala
ID-81,UNICEF,UNICEF Support to the Uganda COVID-19 Response,"uk sweden ireland, unicef, The Rockefeller Foundation, The Hilton Foundation, The Bill and Melinda Gates Foundation, Internal Funding",new_project,NA,no,11366956,"Coordination,Infection prevention,Surveillance,Case management,WASH,ICT innovations,Mental health,Risk communications,Logistics,Human resources","national_task_force_district_task_force monitor_plan_implementation orientation_surge tech_support_lg ehd_districts_wash other, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission other, contact_tracing_followup, assess_readiness other, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees other, budget_tracking_activity_reporting e_meetings telemedicine_protocals implement_elmis software_dev telemedicine_approach strengthen_district_data telemedicine_orientation other, mhpss_services_supervisor_monitor mhpss_support_materials other, cash supplies personnel, procure_ppe procure_medicine procure_waste_management_supplies procure_thermometers offloading_transport fuel procure_icu_equipment med_equipment_maintenance procure_medical_equipment procure_phones procure_internet_routers procure_teleconference_supplies install_teleconference procure_toner print_statutory_instrument procure_sanitizer procure_bottles handwashing_facility procure_soap procure_watertanks chlorination wash_isolation_quarantine_centres sanitation_facilities mobile_toilet_isolation procure_boots wash_costs other, recruitment_costs surge_staff facilitate_response_teams surge_staff_moh",Alternative education programming during school closure.,"Ministry of Health, DLGs, MOH, NWSC, DLGs, Jhpiego, AVSI, BAYLOR, Malaria Consortium, IntraHealth, World Vision, MOH, DLGs, Jhpiego, AVSI, BAYLOR, Malaria Consortium, IntraHealth, MOH, NWSC, DLGs, World Vision, AVSI, BAYLOR, Jhpiego, IntraHealth, Malaria Consortium, Contractors for construction work, MOH, MOH, DLGs, HIJRA, Save the Children, World Vision, MOH, DLGs, World Vision, Media Houses, Publishing Houses, MOH, DLGs, MOH, DLGs, AVSI, BAYLOR, IntraHealth, Jhpiego","acholi ankole bunyoro kampala karamoja lango toro westnile, acholi ankole bunyoro kampala karamoja lango northbuganda southbuganda toro westnile, kampala, acholi ankole bunyoro kampala karamoja lango southbuganda toro westnile, acholi ankole bukedi bunyoro busoga elgon kampala karamoja kigezi lango northbuganda southbuganda teso toro westnile, acholi ankole bunyoro kampala karamoja lango northbuganda toro westnile","lamwo omoro amuru kitgum gulu agago pader nwoya, ntungamo isingiro, kikuube kiryandongo hoima, kampala, moroto kaabong nakapiripirit kotido napak abim amudat nabilatuk karenga, alebtong kole amolatar dokolo apac lira otuke oyam kwania, kyegegwa kasese kamwenge, maracha pakwach zombo yumbe adjumani arua nebbi koboko moyo madiokollo obongi, lamwo omoro amuru kitgum gulu agago pader nwoya, mubende kayunga mukono kassanda, masaka kalangala wakiso mpigi, nakasongola mubende kayunga mukono kassanda, kalangala wakiso mpigi, ibanda sheema rubirizi ntungamo mbarara mitooma kiruhura buhweju bushenyi isingiro rwampara kazo, butebo busia budaka tororo butaleja pallisa kibuku, masindi kagadi kibaale kikuube buliisa kakumiro kiryandongo hoima, kamuli iganga namayingo luuka kaliro jinja buyende namutumba bugiri mayuge bugweri, kween bukwo kapchorwa bududa manafwa sironko mbale namisindwa bulambuli, rukungiri rubanda rukiga kanungu kisoro kabale, buikwe luwero nakasongola mubende buvuma kayunga kyankwanzi kiboga mukono nakaseke mityana kassanda, masaka kalangala wakiso bukomansimbi mpigi lwengo lyantonde ssembabule butambala kalungu kyotera gomba rakai, bukedea kaberamaido soroti serere amuria katakwi kumi ngora kapelebyong kalaki, kabarole bunyangabu kyegegwa kyenjojo kasese kamwenge ntoroko bundibugyo kitagwenda, rubirizi ntungamo isingiro, busia, iganga, bududa"
ID-82,Care and Assistance For Forced Migrants (CAFOMI),"Emergency Response project for the Corona-virus disease (COVID-19) pandemic in South West, Mid west and  Kampala Regions in Uganda; Partnership between MI & CAFOMI",NA,new_project,NA,yes,58135,"Coordination,Infection prevention,Surveillance,Case management,WASH,ICT innovations,Mental health,Risk communications,Logistics,Human resources","national_task_force_district_task_force tech_support_lg ehd_districts_wash, procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, rapid_risk_capacity_assessment_district distribute_tools entry_point_supervisors case_investigation contact_tracing_followup, accomodation_food_quarantine_hotels food_assistance_quarantine_other, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, e_meetings, mhpss_counsellors, supplies personnel, procure_ppe procure_waste_management_supplies procure_thermometers procure_bottles procure_soap procure_watertanks chlorination procure_boots wash_costs, border_health_staff",NA,,"bunyoro kampala kigezi toro, bunyoro kampala kigezi toro","kikuube, kampala, kanungu kisoro, ntoroko bundibugyo, kikuube, kanungu"
ID-83,Action Against Hunger,WFP Nutrition program (MAM TSFP and MCHN),wfp,ongoing_project,yes,NA,20000,"Coordination,Risk communications,Logistics","tech_support_lg, none, none, none, none, none, none, supplies personnel, procure_sanitizer procure_soap chlorination, none",NA,,"bunyoro westnile, bunyoro, bunyoro westnile","kikuube kiryandongo, yumbe adjumani koboko, kikuube, kikuube kiryandongo"
ID-84,Action Against Hunger,ECHO consortium with DRC,eu,ongoing_project,yes,NA,30000,"WASH,Risk communications,Logistics","none, none, none, none, procure_wash_infrastructure hygiene_promotion_sensitization, none, none, supplies personnel, procure_sanitizer procure_soap chlorination, none",NA,,bunyoro,kikuube
ID-85,Action Against Hunger,SIDA- ENABLER project,sweden,ongoing_project,yes,NA,20000,Coordination,"tech_support_lg, none, none, none, none, none, none,  none, none",NA,,bunyoro westnile,"kiryandongo, adjumani"
ID-86,Action Against Hunger,EU Trust Fund - RISE (NGO),eu,ongoing_project,yes,NA,30000,"Coordination,Risk communications,Logistics","tech_support_lg, none, none, none, none, none, none, supplies personnel, procure_sanitizer procure_soap chlorination, none",NA,,westnile,adjumani
ID-87,Oxfam,"Dissemination of cobid related messages at community level, controlling crowd at water sources, operation and maintenance of water systems to provide constant water supply,",unhcr,ongoing_project,no,NA,55556,"WASH,Risk communications","none, none, none, none, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings support_operationalization_of_wash_committees, none, none, supplies personnel, none, none",NA,"Oxfam and Hijra, Oxfam and Hijra",bunyoro,kikuube
ID-88,United Nations Population Fund (UNFPA),EU/SPOT LIGHT programme for SRH/GBV,eu,ongoing_project,yes,NA,90000,"Coordination,Infection prevention,Mental health,Risk communications,Logistics","national_task_force_district_task_force tech_support_lg moh_support_lg ehd_districts_wash, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, none, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash supplies, procure_ppe procure_medicine procure_waste_management_supplies procure_thermometers offloading_transport procure_medical_equipment procure_sanitizer procure_soap procure_boots, none",NA,"MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD, MOH, DLGs, IRC, BRAC, ACCORD",bukedi kampala karamoja westnile,"tororo, kampala, amudat, arua madiokollo"
ID-89,United Nations Population Fund (UNFPA),Reducing high fertility rates and Improving Sexual reproductive health outcomes in Uganda (DFID/RISE),uk,ongoing_project,yes,NA,346685,"Coordination,Infection prevention,ICT innovations,Mental health,Risk communications,Logistics","national_task_force_district_task_force tech_support_lg moh_support_lg ehd_districts_wash, procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, telecoms_call_center e_meetings telemedicine_protocals implement_elmis software_dev, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash supplies, procure_ppe procure_medicine procure_waste_management_supplies procure_thermometers transport_medical_staff procure_sanitizer procure_soap procure_boots, none","Support the provision of transport to health workers  and clients (pregnant women ) to provide services and access services  respectively  and inter-facility safe ambulance referrals with toll-free numbers that will be made known to health workers in the catchment areas.Use of safe boda to distribute SRHR/FPcommodites and supplies , use of big data for persceptive analysis of SRHR and GBV current situations in collaboration with other UN agencies , implementaiion of the Getin and Safepal apps","MOH, MOES, NPC, NPA, UBOS ,  RAHU, MOH, MOES, NPC, NPA, UBOS ,  RAHU, MOH, MOES, NPC, NPA, UBOS ,  RAHU, MOH, MOES, NPC, NPA, UBOS ,  RAHU, MOH, MOES, NPC, NPA, UBOS ,  RAHU, MOH, MOES, NPC, NPA, UBOS ,  RAHU",bunyoro karamoja westnile,"kikuube hoima, moroto kaabong nakapiripirit kotido napak abim amudat nabilatuk karenga, yumbe adjumani arua moyo madiokollo obongi"
ID-90,United Nations Population Fund (UNFPA),Enhance women’s and young people’s access and utilization of quality SRHR and GBV services(WAY programme),denmark,ongoing_project,yes,NA,625000,"Coordination,Infection prevention,ICT innovations,Mental health,Risk communications,Logistics","national_task_force_district_task_force information_product orientation_surge tech_support_lg moh_support_lg ehd_districts_wash, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, telecoms_call_center e_meetings implement_elmis software_dev telemedicine_approach strengthen_district_data, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, cash supplies, procure_ppe procure_waste_management_supplies procure_thermometers procure_medical_equipment purchase_megaphones_vht procure_sanitizer procure_soap chlorination, none",NA,"MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX, MOH, DLGs, CARE, RAHU, OUTBOX",acholi westnile,"lamwo amuru kitgum agago, yumbe adjumani arua moyo madiokollo obongi"
ID-91,United Nations Population Fund (UNFPA),"SIDA Funded programmes Joint SRH/GBV, Together for HIV/SRH,KARUNA,UBRAF",sweden,ongoing_project,yes,NA,206000,"Infection prevention,Mental health,Risk communications,Logistics","none, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, none, none, none, none, mhpss_counsellors mhpss_services_supervisor_monitor mhpss_support_materials, supplies personnel, procure_ppe procure_medicine procure_thermometers fuel procure_sanitizer procure_soap chlorination procure_boots, none",NA,"MOH, DLGs, IRC, BRAC, ACCORD , AIC, MOH, DLGs, IRC, BRAC, ACCORD  AIC, MOH, DLGs, IRC, BRAC, ACCORD  AIC, MOH, DLGs, IRC, BRAC, ACCORD  AIC",elgon kampala karamoja westnile,"kween bukwo bulambuli, kampala, moroto kaabong nakapiripirit kotido napak abim amudat nabilatuk karenga, yumbe adjumani arua moyo madiokollo obongi"
