"District","Coordination_n","PreventionControl_n","Surveillance_n","RiskCommunication_n","MentalHealth_n","ICTInnovation_n","WASH_n","Logistics_n","HumanResources_n","CaseManagement_n","Coordination","PreventionControl","Surveillance","CaseManagement","RiskCommunication","MentalHealth","ICTInnovation","WASH","Logistics","HumanResources"
"MAYUGE",3,3,4,7,3,5,4,6,4,3,"ChildFund International | LifeNet International | World Health Organisation","LifeNet International | United States Agency for International Development | World Health Organisation","LifeNet International | Ministry of Security | United States Agency for International Development | World Health Organisation","LifeNet International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | Restless Development Uganda | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | LifeNet International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | LifeNet International | World Vision Uganda","ChildFund International | LifeNet International | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","LifeNet International | Restless Development Uganda | World Health Organisation | World Vision Uganda"
"NAMAYINGO",1,2,3,3,1,3,1,3,1,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"NAMUTUMBA",2,3,4,4,1,3,2,4,2,2,"Food for the Hungry | World Health Organisation","Food for the Hungry | United States Agency for International Development | World Health Organisation","Food for the Hungry | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | Food for the Hungry | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Food for the Hungry","Food for the Hungry | UNICEF | United States Agency for International Development | World Health Organisation","Food for the Hungry | World Health Organisation"
"BUDUDA",2,2,3,4,1,4,2,4,2,2,"ChildFund International | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | World Health Organisation"
"BUKWO",2,3,3,4,2,3,1,4,1,2,"Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","World Health Organisation"
"BULAMBULI",2,3,3,5,3,4,2,5,1,2,"ChildFund International | World Health Organisation","United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | United Nations Population Fund (UNFPA) | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","World Health Organisation"
"KAPCHORWA",1,2,3,3,1,3,1,3,1,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"KWEEN",1,4,3,5,2,3,2,5,2,3,"World Health Organisation","Food for the Hungry | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","Food for the Hungry | United States Agency for International Development | World Health Organisation","Farm Radio International | Food for the Hungry | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International | Food for the Hungry","Food for the Hungry | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Food for the Hungry | World Health Organisation"
"MANAFWA",2,2,3,4,1,4,2,4,1,2,"ChildFund International | World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"MBALE",3,4,3,7,4,5,5,7,3,2,"ChildFund International | Living Goods | World Health Organisation","Food for the Hungry | Living Goods | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Food for the Hungry | Living Goods | UNICEF | World Health Organisation | World Vision Uganda","ChildFund International | Living Goods | World Health Organisation | World Vision Uganda","ChildFund International | Farm Radio International | Living Goods | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | Food for the Hungry | Living Goods | World Vision Uganda","ChildFund International | Food for the Hungry | Living Goods | UNICEF | United States Agency for International Development | World Health Organisation | World Vision Uganda","Living Goods | World Health Organisation | World Vision Uganda"
"NAMISINDWA",1,2,3,3,1,3,1,3,1,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"SIRONKO",2,3,3,4,2,4,2,4,1,2,"ChildFund International | World Health Organisation","Living Goods | United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International | UNICEF | World Health Organisation","ChildFund International | World Health Organisation","ChildFund International | Farm Radio International | United States Agency for International Development | World Health Organisation","ChildFund International | Farm Radio International","ChildFund International | UNICEF | United States Agency for International Development | World Health Organisation","World Health Organisation"
"KAMPALA",25,19,12,29,14,14,17,23,15,15,"Adventist Development & Relief Agency (ADRA) | Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Clinton Health Access Initiative | Dan Church Aid (DCA) | Finnish Mission Uganda / Fida International | Infectious Diseases Institute | Makerere University | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Norwegian Refugee Council (NRC) | Street Business School | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Welthungerhilfe | Womena Uganda | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Catholic Relief Services | Finnish Mission Uganda / Fida International | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Norwegian Refugee Council (NRC) | Samaritan's Purse | Street Business School | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Infectious Diseases Institute | Makerere University | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Makerere University Walter Reed Project | Malteser International | Ministry of Security | U-LEARN | UNICEF | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Catholic Relief Services | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Makerere University Walter Reed Project | Malteser International | UNICEF | United Nations Population Fund (UNFPA) | Womena Uganda | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Dan Church Aid (DCA) | Farm Radio International | Hope for Children | Infectious Diseases Institute | Makerere University | International Justice Mission | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Norwegian Refugee Council (NRC) | Samaritan's Purse | Save the Children International | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | WaterAid Uganda | Welthungerhilfe | Womena Uganda | World Health Organisation | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | Finnish Mission Uganda / Fida International | Hope for Children | International Justice Mission | Jesuit Regufee Service (JRS) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Living Goods | Malteser International | Mercy Corps | Norwegian Refugee Council (NRC) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Farm Radio International | Infectious Diseases Institute | Makerere University | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Mercy Corps | U-LEARN | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Care and Assistance For Forced Migrants (CAFOMI) | ChildFund International | Farm Radio International | Hope for Children | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | Norwegian Refugee Council (NRC) | Samaritan's Purse | UNICEF | WaterAid Uganda | Welthungerhilfe | Womena Uganda | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | Catholic Relief Services | ChildFund International | Dan Church Aid (DCA) | Engineering Ministries International | Hope for Children | Infectious Diseases Institute | Makerere University | International Rescue Committee (IRC) | Jesuit Regufee Service (JRS) | Korea Foundation for International Healthcare(KOFIH) | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Norwegian Refugee Council (NRC) | Samaritan's Purse | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | Womena Uganda | World Health Organisation | World Vision Uganda","Care and Assistance For Forced Migrants (CAFOMI) | Hope for Children | Infectious Diseases Institute | Makerere University | LifeNet International | Living Goods | Makerere University Walter Reed Project | Malteser International | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | Womena Uganda | World Health Organisation | World Vision Uganda"
"ABIM",7,6,3,8,4,3,4,4,4,3,"Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Farm Radio International | UNICEF | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda"
"AMUDAT",7,8,4,10,4,5,7,6,4,5,"Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA","Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | ZOA","Doctors with Africa CUAMM | Mission Aviation Fellowship (MAF) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | ZOA","Doctors with Africa CUAMM | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation"
"KAABONG",6,7,3,11,4,4,6,6,4,3,"Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Amref Health Africa in Uganda | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Farm Radio International | Mercy Corps | Save the Children International | UNICEF | World Vision Uganda","Amref Health Africa in Uganda | Mission Aviation Fellowship (MAF) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda"
"KARENGA",4,5,3,8,5,4,5,4,4,3,"Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation","Farm Radio International | Mercy Corps | Save the Children International | UNICEF | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda"
"KOTIDO",6,7,3,10,4,4,6,5,4,3,"Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | World Health Organisation","Adventist Development & Relief Agency (ADRA) | Farm Radio International | Mercy Corps | Save the Children International | UNICEF | World Vision Uganda","Mission Aviation Fellowship (MAF) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda","UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation | World Vision Uganda"
"MOROTO",10,9,5,11,5,6,8,8,7,5,"Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | Voluntary Services Overseas (VSO) | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | Voluntary Services Overseas (VSO) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Mercy Corps | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Save the Children International | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mercy Corps | Save the Children International | UNICEF | Voluntary Services Overseas (VSO) | Welthungerhilfe","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Mission Aviation Fellowship (MAF) | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation"
"NABILATUK",6,6,4,9,4,4,4,5,4,4,"Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","AWO International | Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","AWO International | Doctors with Africa CUAMM | Farm Radio International | UNICEF","Doctors with Africa CUAMM | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation"
"NAKAPIRIPIRIT",6,6,4,8,4,4,3,5,4,4,"Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | UNICEF","Doctors with Africa CUAMM | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation"
"NAPAK",9,8,5,11,4,5,6,7,5,5,"Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Ministry of Security | Voluntary Services Overseas (VSO) | World Health Organisation","Doctors with Africa CUAMM | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | UNICEF | Voluntary Services Overseas (VSO) | World Health Organisation","AWO International | Doctors with Africa CUAMM | Farm Radio International | International Rescue Committee (IRC) | Joint UN Programme on HIV/AIDS  in Uganda (JUPSA) | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Doctors with Africa CUAMM | Farm Radio International | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation","AWO International | Doctors with Africa CUAMM | Farm Radio International | UNICEF | Voluntary Services Overseas (VSO) | Welthungerhilfe","Doctors with Africa CUAMM | Save the Children International | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | Welthungerhilfe | World Health Organisation","Doctors with Africa CUAMM | UNICEF | United Nations Population Fund (UNFPA) | Voluntary Services Overseas (VSO) | World Health Organisation"
"KABALE",2,2,6,5,1,5,1,5,3,2,"Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","United States Agency for International Development | World Health Organisation","Infectious Diseases Institute | Makerere University | Medical Teams International | Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | Infectious Diseases Institute | Makerere University | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | Infectious Diseases Institute | Makerere University | United States Agency for International Development | World Health Organisation","Farm Radio International","Infectious Diseases Institute | Makerere University | UNICEF | United States Agency for International Development | World Health Organisation","UNICEF | United States Agency for International Development | World Health Organisation"
"KANUNGU",6,7,8,10,3,7,4,9,5,4,"Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Malteser International | Medical Teams International | United Nations Population Fund (UNFPA) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Malteser International | Medical Teams International | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Infectious Diseases Institute | Makerere University | Malteser International | Ministry of Security | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Medical Teams International | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Farm Radio International | Infectious Diseases Institute | Makerere University | Malteser International | Medical Teams International | UNICEF | United Nations Population Fund (UNFPA) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Malteser International | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | Infectious Diseases Institute | Makerere University | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Farm Radio International | Malteser International","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Infectious Diseases Institute | Makerere University | Malteser International | UNICEF | United Nations Population Fund (UNFPA) | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Malteser International | UNICEF | United States Agency for International Development | World Health Organisation"
"KISORO",6,6,7,9,2,6,4,8,5,4,"Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Malteser International | Medical Teams International | Tackling Deadly Diseases in Africa Programme (TDDAP) | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Malteser International | Medical Teams International | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Infectious Diseases Institute | Makerere University | Ministry of Security | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Medical Teams International | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Farm Radio International | Infectious Diseases Institute | Makerere University | Malteser International | Medical Teams International | UNICEF | World Health Organisation","Malteser International | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Farm Radio International | Infectious Diseases Institute | Makerere University | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Farm Radio International | Malteser International","Care and Assistance For Forced Migrants (CAFOMI) | Conservation Through Public Health (CTPH) | Infectious Diseases Institute | Makerere University | Malteser International | UNICEF | United States Agency for International Development | World Health Organisation","Care and Assistance For Forced Migrants (CAFOMI) | Malteser International | UNICEF | United States Agency for International Development | World Health Organisation"
